trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",35,0,-151.5827981422014,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,10,-80.10209235441486,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 2}",1
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-68.6416369925579,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-73.34041387157336,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",30,0,-104.67727574427353,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",25,0,-141.82259425235372,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",1
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-68.67910897592493,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,8,-0.785946026767179,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",25,0,-107.21990332865553,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",35,0,-182.1218320446546,"{0: 25, 1: 0, 2: 5, 3: 2, 4: 3}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",35,0,-212.0813741349753,"{0: 24, 1: 1, 2: 4, 3: 2, 4: 4}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-150.15219356173176,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",25,0,-23.05513638812501,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",30,18,-10.45606238191189,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-36.87181098436778,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",25,0,-125.66954851001057,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-47.911837084681224,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,12,-47.9614645553295,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.002, 'e': 0.812207036711939}",25,1,-113.29224864073552,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",25,0,-67.22091060187886,"{0: 17, 1: 6, 2: 0, 3: 1, 4: 1}",0
